timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-03T16:26:33.172172,1,Tengra,7.06,35.3,364.96,0.5,1.03,Clear
2026-07-03T16:26:34.172255,1,Tengra,7.06,35.3,364.96,0.5,1.03,Clear
2026-07-03T16:26:35.172336,1,Tengra,6.98,35.4,366.26,0.5,1.02,Clear
2026-07-03T16:26:36.172424,1,Tengra,6.98,35.4,366.26,0.5,1.02,Clear
2026-07-03T16:26:37.172517,1,Tengra,6.98,35.4,366.26,0.5,1.02,Clear
2026-07-03T16:26:38.172602,1,Tengra,6.91,35.1,365.01,0.5,1.07,Clear
2026-07-03T16:26:39.175378,1,Tengra,6.91,35.1,365.01,0.5,1.07,Clear
2026-07-03T16:26:40.175465,1,Tengra,6.91,35.1,365.01,0.5,1.07,Clear
2026-07-03T16:26:41.175558,1,Tengra,7.01,35.1,364.82,0.5,1.08,Clear
2026-07-03T16:26:42.175658,1,Tengra,7.01,35.1,364.82,0.5,1.08,Clear
2026-07-03T16:26:43.175754,1,Tengra,7.01,35.1,364.82,0.5,1.08,Clear
2026-07-03T16:26:44.175843,1,Tengra,6.93,35.1,364.03,0.5,1.04,Clear
2026-07-03T16:26:45.175927,1,Tengra,6.93,35.1,364.03,0.5,1.04,Clear
2026-07-03T16:26:46.176009,1,Tengra,6.93,35.1,364.03,0.5,1.04,Clear
2026-07-03T16:26:47.176096,1,Tengra,6.99,35.3,364.45,0.5,1.0,Clear
2026-07-03T16:26:48.176174,1,Tengra,6.99,35.3,364.45,0.5,1.0,Clear
2026-07-03T16:26:49.176261,1,Tengra,6.99,35.3,364.45,0.5,1.0,Clear
2026-07-03T16:26:50.176352,1,Tengra,6.94,35.3,363.9,0.5,0.99,Clear
2026-07-03T16:26:51.176442,1,Tengra,6.94,35.3,363.9,0.5,0.99,Clear
2026-07-03T16:26:52.176527,1,Tengra,6.94,35.3,363.9,0.5,0.99,Clear
2026-07-03T16:26:53.176628,1,Tengra,6.93,35.3,364.31,0.5,1.02,Clear
2026-07-03T16:26:54.176720,1,Tengra,6.93,35.3,364.31,0.5,1.02,Clear
2026-07-03T16:26:55.176808,1,Tengra,6.93,35.3,364.31,0.5,1.02,Clear
2026-07-03T16:26:56.176910,1,Tengra,6.99,34.9,364.54,0.5,1.04,Clear
2026-07-03T16:26:57.177001,1,Tengra,6.99,34.9,364.54,0.5,1.04,Clear
2026-07-03T16:26:58.177097,1,Tengra,6.99,34.9,364.54,0.5,1.04,Clear
2026-07-03T16:26:59.177211,1,Tengra,6.94,35.2,364.54,0.5,1.09,Clear
2026-07-03T16:27:00.177320,1,Tengra,6.94,35.2,364.54,0.5,1.09,Clear
2026-07-03T16:27:01.177409,1,Tengra,6.94,35.2,364.54,0.5,1.09,Clear
2026-07-03T16:27:02.177493,1,Tengra,6.96,35.2,364.54,0.5,1.14,Clear
2026-07-03T16:27:03.177590,1,Tengra,6.96,35.2,364.54,0.5,1.14,Clear
2026-07-03T16:27:04.177675,1,Tengra,6.96,35.2,364.54,0.5,1.14,Clear
2026-07-03T16:27:05.177763,1,Tengra,6.92,35.1,364.45,0.5,1.14,Clear
2026-07-03T16:27:06.177870,1,Tengra,6.92,35.1,364.45,0.5,1.14,Clear
2026-07-03T16:27:07.177957,1,Tengra,6.92,35.1,364.45,0.5,1.14,Clear
2026-07-03T16:27:08.178038,1,Tengra,6.96,34.7,361.3,0.5,1.0,Clear
2026-07-03T16:27:09.178120,1,Tengra,6.96,34.7,361.3,0.5,1.0,Clear
2026-07-03T16:27:10.178200,1,Tengra,6.96,34.7,361.3,0.5,1.0,Clear
2026-07-03T16:27:11.178288,1,Tengra,7.0,34.8,363.57,0.5,0.99,Clear
2026-07-03T16:27:12.178374,1,Tengra,7.0,34.8,363.57,0.5,0.99,Clear
2026-07-03T16:27:13.178465,1,Tengra,7.04,35.0,364.17,0.5,1.18,Clear
2026-07-03T16:27:14.178552,1,Tengra,7.04,35.0,364.17,0.5,1.18,Clear
2026-07-03T16:27:15.178633,1,Tengra,7.04,35.0,364.17,0.5,1.18,Clear
2026-07-03T16:27:16.178721,1,Tengra,6.97,35.3,364.13,0.5,1.15,Clear
2026-07-03T16:27:17.178811,1,Tengra,6.97,35.3,364.13,0.5,1.15,Clear
2026-07-03T16:27:18.178898,1,Tengra,6.97,35.3,364.13,0.5,1.15,Clear
