timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-02T09:10:56.846181,1,Tengra,7.41,28.3,137.5,4.06,0.21,Clear
2026-07-02T09:10:57.846262,1,Tengra,7.5,28.9,137.5,4.09,0.21,Clear
2026-07-02T09:10:58.846373,1,Tengra,7.42,28.6,137.5,4.1,0.21,Clear
2026-07-02T09:10:59.846463,1,Tengra,7.45,28.8,131.25,4.3,0.21,Clear
2026-07-02T09:11:00.846549,1,Tengra,7.48,28.9,137.5,4.06,0.21,Clear
2026-07-02T09:11:01.846632,1,Tengra,7.41,28.5,137.5,4.04,0.21,Clear
2026-07-02T09:11:02.846716,1,Tengra,7.51,28.9,137.5,4.11,0.21,Clear
2026-07-02T09:11:03.846808,1,Tengra,7.41,28.9,137.5,4.05,0.21,Clear
2026-07-02T09:11:04.846897,1,Tengra,7.49,28.9,137.5,4.28,0.21,Clear
2026-07-02T09:11:05.846982,1,Tengra,7.4,28.9,137.5,4.02,0.21,Clear
2026-07-02T09:11:06.847065,1,Tengra,7.38,28.8,137.5,4.28,0.21,Clear
2026-07-02T09:11:07.847151,1,Tengra,7.52,28.9,137.5,4.03,0.21,Clear
2026-07-02T09:11:08.847227,1,Tengra,7.41,28.4,137.5,4.01,0.21,Clear
2026-07-02T09:11:09.847311,1,Tengra,7.51,28.8,137.5,4.19,0.21,Clear
2026-07-02T09:11:10.847771,1,Tengra,7.42,28.8,137.5,4.07,0.21,Clear
2026-07-02T09:11:11.847858,1,Tengra,7.46,28.8,131.25,4.33,0.21,Clear
2026-07-02T09:11:12.847949,1,Tengra,7.42,28.9,137.5,4.04,0.21,Clear
2026-07-02T09:11:13.848037,1,Tengra,7.4,28.7,137.5,4.28,0.21,Clear
2026-07-02T09:11:14.848123,1,Tengra,7.53,28.9,131.25,4.09,0.21,Clear
2026-07-02T09:11:15.848200,1,Tengra,7.4,28.7,137.5,4.03,0.21,Clear
2026-07-02T09:11:16.848281,1,Tengra,7.48,28.8,137.5,4.39,0.21,Clear
2026-07-02T09:11:17.848360,1,Tengra,7.41,28.9,137.5,4.04,0.21,Clear
