timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-02T12:41:51.034141,1,Tengra,7.36,26.2,800.0,1.04,0.2,Clear
2026-07-02T12:41:52.034215,1,Tengra,7.5,26.6,800.0,1.11,0.2,Clear
2026-07-02T12:41:53.034295,1,Tengra,7.36,26.4,800.0,1.04,0.2,Clear
2026-07-02T12:41:54.034375,1,Tengra,7.49,26.6,800.0,1.13,0.2,Clear
2026-07-02T12:41:55.034461,1,Tengra,7.35,26.5,800.0,1.0,0.2,Clear
2026-07-02T12:41:56.034542,1,Tengra,7.49,26.6,800.0,1.33,0.2,Clear
2026-07-02T12:41:57.034621,1,Tengra,7.36,26.6,800.0,1.08,0.2,Clear
2026-07-02T12:41:58.034701,1,Tengra,7.36,26.1,800.0,0.99,0.2,Clear
2026-07-02T12:41:59.034785,1,Tengra,7.51,26.7,800.0,1.2,0.2,Clear
2026-07-02T12:42:00.034870,1,Tengra,7.35,26.4,800.0,1.07,0.2,Clear
2026-07-02T12:42:01.034950,1,Tengra,7.5,26.6,800.0,1.34,0.2,Clear
2026-07-02T12:42:02.035029,1,Tengra,7.36,26.7,800.0,1.07,0.2,Clear
2026-07-02T12:42:03.035104,1,Tengra,7.39,26.5,800.0,1.49,0.2,Clear
2026-07-02T12:42:04.035185,1,Tengra,7.39,26.6,800.0,1.12,0.2,Clear
2026-07-02T12:42:05.035274,1,Tengra,7.34,26.6,800.0,1.1,0.2,Clear
2026-07-02T12:42:06.035361,1,Tengra,7.47,26.6,800.0,1.3,0.2,Clear
2026-07-02T12:42:07.035449,1,Tengra,7.37,26.6,800.0,1.14,0.2,Clear
2026-07-02T12:42:08.035538,1,Tengra,7.33,26.6,800.0,1.52,0.2,Clear
2026-07-02T12:42:09.035623,1,Tengra,7.38,26.6,800.0,1.14,0.2,Clear
2026-07-02T12:42:10.035703,1,Tengra,7.36,26.3,800.0,1.09,0.2,Clear
2026-07-02T12:42:11.035785,1,Tengra,7.37,26.6,800.0,1.18,0.2,Clear
2026-07-02T12:42:12.035872,1,Tengra,7.36,26.6,800.0,1.17,0.2,Clear
2026-07-02T12:42:13.035958,1,Tengra,7.46,26.5,800.0,1.5,0.2,Clear
2026-07-02T12:42:14.036049,1,Tengra,7.38,26.6,800.0,1.15,0.2,Clear
2026-07-02T12:42:15.036133,1,Tengra,7.37,26.6,800.0,1.46,0.2,Clear
2026-07-02T12:42:16.036218,1,Tengra,7.38,26.6,800.0,1.18,0.2,Clear
2026-07-02T12:42:17.036299,1,Tengra,7.37,26.2,800.0,1.12,0.2,Clear
2026-07-02T12:42:18.036383,1,Tengra,7.4,26.6,800.0,1.16,0.2,Clear
2026-07-02T12:42:19.036584,1,Tengra,7.38,26.6,800.0,1.18,0.2,Clear
2026-07-02T12:42:20.036681,1,Tengra,7.36,26.5,800.0,1.56,0.2,Clear
2026-07-02T12:42:21.036779,1,Tengra,7.37,26.6,800.0,1.16,0.2,Clear
2026-07-02T12:42:22.036883,1,Tengra,7.34,26.3,800.0,1.17,0.2,Clear
2026-07-02T12:42:23.036980,1,Tengra,7.38,26.6,800.0,1.24,0.2,Clear
2026-07-02T12:42:24.037073,1,Tengra,7.36,26.2,800.0,1.12,0.2,Clear
2026-07-02T12:42:25.037171,1,Tengra,7.38,26.7,800.0,1.16,0.2,Clear
2026-07-02T12:42:26.037261,1,Tengra,7.38,26.6,800.0,1.15,0.2,Clear
2026-07-02T12:42:27.037346,1,Tengra,7.52,26.5,800.0,1.47,0.2,Clear
2026-07-02T12:42:28.037429,1,Tengra,7.37,26.7,800.0,1.2,0.2,Clear
2026-07-02T12:42:29.037507,1,Tengra,7.38,26.5,800.0,1.54,0.2,Clear
2026-07-02T12:42:30.037583,1,Tengra,7.38,26.6,800.0,1.15,0.2,Clear
2026-07-02T12:42:31.037660,1,Tengra,7.37,26.5,800.0,1.23,0.2,Clear
2026-07-02T12:42:32.037746,1,Tengra,7.39,26.6,800.0,1.21,0.2,Clear
2026-07-02T12:42:33.037827,1,Tengra,7.36,26.6,800.0,1.2,0.2,Clear
2026-07-02T12:42:34.037913,1,Tengra,7.36,26.6,800.0,1.43,0.2,Clear
2026-07-02T12:42:35.038000,1,Tengra,7.36,26.7,800.0,1.04,0.2,Clear
2026-07-02T12:42:36.038091,1,Tengra,7.35,26.5,800.0,1.08,0.2,Clear
2026-07-02T12:42:37.038190,1,Tengra,7.39,26.7,800.0,0.95,0.2,Clear
2026-07-02T12:42:38.038306,1,Tengra,7.35,26.5,800.0,0.91,0.2,Clear
2026-07-02T12:42:39.038399,1,Tengra,7.38,26.6,800.0,0.85,0.2,Clear
2026-07-02T12:42:40.038475,1,Tengra,7.38,26.6,800.0,0.79,0.2,Clear
2026-07-02T12:42:41.038558,1,Tengra,7.44,26.6,800.0,1.04,0.2,Clear
2026-07-02T12:42:42.039193,1,Tengra,7.38,26.6,800.0,0.68,0.2,Clear
2026-07-02T12:42:43.039291,1,Tengra,7.37,26.5,800.0,0.8,0.2,Clear
2026-07-02T12:42:44.039409,1,Tengra,7.39,26.6,800.0,0.59,0.2,Clear
2026-07-02T12:42:45.039489,1,Tengra,7.39,26.3,800.0,0.5,0.2,Clear
2026-07-02T12:42:46.042111,1,Tengra,7.41,26.6,800.0,0.61,0.2,Clear
2026-07-02T12:42:47.042201,1,Tengra,7.37,26.6,800.0,0.5,0.2,Clear
2026-07-02T12:42:48.042281,1,Tengra,7.35,26.5,800.0,0.76,0.2,Clear
2026-07-02T12:42:49.042363,1,Tengra,7.37,26.6,800.0,0.5,0.2,Clear
2026-07-02T12:42:50.042445,1,Tengra,7.37,26.1,800.0,0.5,0.2,Clear
