timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-05T14:29:59.853917,1,Tengra,7.39,34.3,960.12,14.96,0.21,Clear
2026-07-05T14:30:00.854002,1,Tengra,7.38,34.1,961.88,14.96,0.21,Clear
2026-07-05T14:30:01.854084,1,Tengra,7.39,34.2,958.5,14.96,0.21,Clear
2026-07-05T14:30:02.854164,1,Tengra,7.42,34.3,959.81,14.96,0.21,Clear
2026-07-05T14:30:03.856792,1,Tengra,7.37,34.0,961.44,14.96,0.21,Clear
2026-07-05T14:30:04.856887,1,Tengra,7.43,34.2,958.88,14.96,0.21,Clear
2026-07-05T14:30:05.856997,1,Tengra,7.38,34.1,961.81,14.96,0.21,Clear
2026-07-05T14:30:06.857164,1,Tengra,7.42,34.3,959.56,14.96,0.21,Clear
2026-07-05T14:30:07.857251,1,Tengra,7.36,34.3,961.56,14.96,0.21,Clear
2026-07-05T14:30:08.857329,1,Tengra,7.36,34.2,958.81,14.96,0.21,Clear
2026-07-05T14:30:09.857369,1,Tengra,7.44,34.3,958.56,14.96,0.21,Clear
2026-07-05T14:30:10.857532,1,Tengra,7.38,34.2,961.12,14.96,0.21,Clear
2026-07-05T14:30:11.857626,1,Tengra,7.43,34.2,957.94,14.96,0.21,Clear
2026-07-05T14:30:12.857716,1,Tengra,7.38,34.3,959.88,14.96,0.21,Clear
2026-07-05T14:30:13.857812,1,Tengra,7.43,34.3,957.0,14.96,0.21,Clear
2026-07-05T14:30:14.857904,1,Tengra,7.39,34.2,960.19,14.96,0.21,Clear
2026-07-05T14:30:15.857987,1,Tengra,7.4,34.0,959.81,14.96,0.21,Clear
2026-07-05T14:30:16.858076,1,Tengra,7.41,34.3,958.0,14.96,0.21,Clear
2026-07-05T14:30:17.858161,1,Tengra,7.38,34.0,957.94,14.96,0.21,Clear
2026-07-05T14:30:18.858243,1,Tengra,7.44,34.3,955.0,14.96,0.21,Clear
2026-07-05T14:30:19.858330,1,Tengra,7.37,34.3,959.0,14.96,0.21,Clear
2026-07-05T14:30:20.858443,1,Tengra,7.36,34.2,956.94,14.96,0.21,Clear
2026-07-05T14:30:21.858534,1,Tengra,7.38,34.3,957.94,14.96,0.21,Clear
2026-07-05T14:30:22.858618,1,Tengra,7.38,34.0,960.75,14.96,0.21,Clear
2026-07-05T14:30:23.858699,1,Tengra,7.42,34.2,961.19,14.96,0.21,Clear
2026-07-05T14:30:24.858791,1,Tengra,7.38,34.3,965.88,14.96,0.22,Clear
2026-07-05T14:30:25.858877,1,Tengra,7.37,34.1,966.38,14.96,0.21,Clear
2026-07-05T14:30:26.858927,1,Tengra,7.41,34.3,964.63,14.96,0.22,Clear
2026-07-05T14:30:27.859011,1,Tengra,7.38,34.0,967.38,14.96,0.21,Clear
2026-07-05T14:30:28.859105,1,Tengra,7.44,34.3,965.12,14.96,0.21,Clear
