timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Water_Type
2026-07-03T16:33:56.343571,1,Tengra,7.08,34.4,356.3,1.61,1.14,Clear
2026-07-03T16:33:57.343760,1,Tengra,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:33:58.343861,1,Tengra,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:33:59.343945,1,Tengra,7.11,34.8,360.89,1.72,1.11,Clear
2026-07-03T16:34:00.344029,1,Tengra,7.06,35.0,361.26,1.55,0.92,Clear
2026-07-03T16:34:01.344119,1,Tengra,7.06,35.0,361.26,1.55,0.92,Clear
2026-07-03T16:34:02.344207,1,Tengra,7.06,35.0,361.26,1.55,0.92,Clear
2026-07-03T16:34:03.344294,1,Tengra,7.0,35.0,361.77,1.53,1.13,Clear
2026-07-03T16:34:04.344406,1,Tengra,7.0,35.0,361.77,1.53,1.13,Clear
2026-07-03T16:34:05.344490,1,Tengra,7.0,35.0,361.77,1.53,1.13,Clear
2026-07-03T16:34:06.344586,1,Tengra,7.07,35.0,361.35,1.7,0.95,Clear
2026-07-03T16:34:07.344689,1,Tengra,7.07,35.0,361.35,1.7,0.95,Clear
2026-07-03T16:34:08.344787,1,Tengra,7.07,35.0,361.35,1.7,0.95,Clear
2026-07-03T16:34:09.344884,1,Tengra,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:10.344995,1,Tengra,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:11.345084,1,Tengra,7.04,34.7,361.72,1.71,1.1,Clear
2026-07-03T16:34:12.345168,1,Tengra,7.22,35.0,361.9,1.59,1.11,Clear
2026-07-03T16:34:13.345299,1,Tengra,7.22,35.0,361.9,1.59,1.11,Clear
2026-07-03T16:34:14.345388,1,Tengra,7.22,35.0,361.9,1.59,1.11,Clear
2026-07-03T16:34:15.345472,1,Tengra,7.0,35.1,361.35,1.59,1.09,Clear
2026-07-03T16:34:16.345559,1,Tengra,7.0,35.1,361.35,1.59,1.09,Clear
2026-07-03T16:34:17.345650,1,Tengra,7.01,35.0,360.42,1.56,1.11,Clear
2026-07-03T16:34:18.345737,1,Tengra,7.01,35.0,360.42,1.56,1.11,Clear
2026-07-03T16:34:19.345819,1,Tengra,7.01,35.0,360.42,1.56,1.11,Clear
2026-07-03T16:34:20.345914,1,Tengra,6.97,34.7,360.93,1.61,1.06,Clear
2026-07-03T16:34:21.345999,1,Tengra,6.97,34.7,360.93,1.61,1.06,Clear
2026-07-03T16:34:22.346085,1,Tengra,6.97,34.7,360.93,1.61,1.06,Clear
