timestamp,Pond_ID,Fish_Species,pH,Temperature,TDS,Turbidity,Distance,Red,Green,Blue,Clear,Water_Type
2026-06-17T10:28:29.121278,1,Tengra,7.05,32.6,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:30.121397,1,Tengra,7.03,32.6,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:31.121541,1,Tengra,7.07,32.6,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:28:32.121650,1,Tengra,7.04,32.6,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:28:33.121741,1,Tengra,7.01,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:34.124518,1,Tengra,7.05,32.6,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:35.124657,1,Tengra,7.03,32.5,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:36.124751,1,Tengra,7.11,32.6,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:37.124846,1,Tengra,7.06,32.6,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:38.124956,1,Tengra,7.1,31.8,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:39.125077,1,Tengra,7.19,32.3,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:40.125188,1,Tengra,7.12,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:41.125332,1,Tengra,7.11,32.2,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:42.125440,1,Tengra,7.1,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:43.125537,1,Tengra,7.1,32.0,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:44.125622,1,Tengra,7.09,32.4,800.0,0.5,0.2,252,252,252,252,Clear
2026-06-17T10:28:45.125717,1,Tengra,7.09,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:46.125815,1,Tengra,7.07,32.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:47.126304,1,Tengra,7.08,32.4,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:48.126441,1,Tengra,7.07,32.0,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:49.126529,1,Tengra,7.16,32.4,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:28:50.126642,1,Tengra,7.07,32.4,800.0,0.5,0.22,252,252,252,252,Clear
2026-06-17T10:28:51.126740,1,Tengra,7.11,32.0,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:52.126832,1,Tengra,7.11,32.3,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:53.127238,1,Tengra,7.06,32.0,800.0,0.5,0.21,252,252,252,252,Clear
2026-06-17T10:28:54.127350,1,Tengra,7.11,32.2,800.0,0.5,0.2,252,252,252,252,Clear
